Symbol,Gap
360ONE,20.0
ABB,50.0
ABCAPITAL,5.0
ADANIENSOL,10.0
ADANIENT,20.0
ADANIGREEN,20.0
ADANIPORTS,20.0
ALKEM,50.0
AMBER,100.0
AMBUJACEM,5.0
ANGELONE,50.0
APLAPOLLO,20.0
APOLLOHOSP,50.0
ASHOKLEY,1.0
ASIANPAINT,20.0
ASTRAL,20.0
AUBANK,10.0
AUROPHARMA,20.0
AXISBANK,10.0
BAJAJ-AUTO,100.0
BAJAJFINSV,20.0
BAJFINANCE,10.0
BANDHANBNK,2.5
BANKBARODA,2.5
BANKINDIA,1.0
BDL,20.0
BEL,5.0
BHARATFORG,20.0
BHARTIARTL,20.0
BHEL,2.5
BIOCON,5.0
BLUESTARCO,20.0
BOSCHLTD,500.0
BPCL,5.0
BRITANNIA,50.0
BSE,50.0
CAMS,50.0
CANBK,1.0
CDSL,20.0
CGPOWER,10.0
CHOLAFIN,20.0
CIPLA,10.0
COALINDIA,2.5
COFORGE,20.0
COLPAL,20.0
CONCOR,5.0
CROMPTON,5.0
CUMMINSIND,50.0
CYIENT,20.0
DABUR,5.0
DALBHARAT,20.0
DELHIVERY,5.0
DIVISLAB,50.0
DIXON,250.0
DLF,10.0
DMART,50.0
DRREDDY,10.0
EICHERMOT,50.0
ETERNAL,5.0
EXIDEIND,5.0
FEDERALBNK,2.5
FORTIS,10.0
GAIL,2.5
GLENMARK,20.0
GMRAIRPORT,1.0
GODREJCP,20.0
GODREJPROP,20.0
GRASIM,20.0
HAL,50.0
HAVELLS,20.0
HCLTECH,20.0
HDFCAMC,50.0
HDFCBANK,5.0
HDFCLIFE,10.0
HEROMOTOCO,50.0
HFCL,1.0
HINDALCO,10.0
HINDPETRO,5.0
HINDUNILVR,20.0
HINDZINC,5.0
HUDCO,2.5
ICICIBANK,10.0
ICICIGI,20.0
ICICIPRULI,5.0
IDEA,1.0
IDFCFIRSTB,1.0
IEX,2.5
IGL,2.5
IIFL,10.0
INDHOTEL,10.0
INDIANB,10.0
INDIGO,50.0
INDUSINDBK,10.0
INDUSTOWER,5.0
INFY,20.0
INOXWIND,2.5
IOC,1.0
IRCTC,5.0
IREDA,2.5
IRFC,1.0
ITC,2.5
JINDALSTEL,10.0
JIOFIN,5.0
JSWENERGY,10.0
JSWSTEEL,10.0
JUBLFOOD,10.0
KALYANKJIL,10.0
KAYNES,100.0
KEI,50.0
KFINTECH,20.0
KOTAKBANK,20.0
KPITTECH,20.0
LAURUSLABS,10.0
LICHSGFIN,5.0
LICI,10.0
LODHA,20.0
LT,20.0
LTF,2.5
LTIM,50.0
LUPIN,20.0
M&M,50.0
MANAPPURAM,2.5
MANKIND,50.0
MARICO,10.0
MARUTI,100.0
MAXHEALTH,20.0
MAZDOCK,50.0
MCX,100.0
MFSL,20.0
MOTHERSON,1.0
MPHASIS,50.0
MUTHOOTFIN,50.0
NATIONALUM,2.5
NAUKRI,20.0
NBCC,1.0
NCC,2.5
NESTLEIND,10.0
NHPC,1.0
NMDC,1.0
NTPC,2.5
NUVAMA,100.0
NYKAA,2.5
OBEROIRLTY,20.0
OFSS,100.0
OIL,5.0
ONGC,2.5
PAGEIND,500.0
PATANJALI,5.0
PAYTM,20.0
PERSISTENT,100.0
PETRONET,2.5
PFC,5.0
PGEL,10.0
PHOENIXLTD,20.0
PIDILITIND,20.0
PIIND,50.0
PNB,1.0
PNBHOUSING,10.0
POLICYBZR,20.0
POLYCAB,100.0
POWERGRID,2.5
POWERINDIA,250.0
PPLPHARMA,2.5
PRESTIGE,20.0
RBLBANK,5.0
RECLTD,5.0
RELIANCE,10.0
RVNL,5.0
SAIL,1.0
SAMMAANCAP,2.5
SBICARD,10.0
SBILIFE,20.0
SBIN,5.0
SHREECEM,250.0
SHRIRAMFIN,10.0
SIEMENS,50.0
SOLARINDS,250.0
SONACOMS,5.0
SRF,50.0
SUNPHARMA,20.0
SUPREMEIND,50.0
SUZLON,1.0
SYNGENE,10.0
TATACONSUM,10.0
TATAELXSI,100.0
TATAMOTORS,10.0
TATAPOWER,5.0
TATASTEEL,2.5
TATATECH,10.0
TCS,20.0
TECHM,20.0
TIINDIA,50.0
TITAGARH,20.0
TITAN,20.0
TORNTPHARM,50.0
TORNTPOWER,20.0
TRENT,100.0
TVSMOTOR,50.0
ULTRACEMCO,100.0
UNIONBANK,2.5
UNITDSPR,10.0
UNOMINDA,20.0
UPL,10.0
VBL,5.0
VEDL,5.0
VOLTAS,20.0
WIPRO,2.5
YESBANK,1.0
ZYDUSLIFE,10.0
